indicator_slug,indicator_title,category,release_frequency,stance_state,typical_release_window,main_metric_value,unit_suffix,previous_value,delta_value,delta_display,trend_direction,trend_badge_style,target_anchor,narrative_commentary,source_label,source_url,observation_period,release_date,next_expected_release,data_status,verification_status,research_notes,publish
cpi-inflation,CPI Inflation,INFLATION,MONTHLY,Above target midpoint,12th of following month (16:00 IST),4.82,% y-o-y,4.45,0.37,+0.37 pp MoM,up,warning,RBI inflation target: 4% ±2%,"Year-on-year change in retail prices across a national basket of goods and services, the RBI's primary policy anchor. Base year 2024=100.",MoSPI — CPI Press Release,https://www.mospi.gov.in/uploads/latestReleases/latest_release_1789381904344_6c792dcf-8a9f-4fca-93d3-99d833bdb358_Press_Release_of_CPI_for_August_2026.pdf,August 2026,2026-09-14,2026-10-12,provisional,verified_official,Aug 2026 provisional; July 2026 now final at 4.45%. Food inflation (CFPI) 5.95%. Next release date stated in the press note itself.,TRUE
wpi-inflation,WPI Inflation,INFLATION,MONTHLY,Elevated wholesale price pressure,14th of following month,9.92,% y-o-y,9.78,0.14,+0.14 pp MoM,up,warning,No official WPI target,"Year-on-year change in wholesale prices of goods, an early signal of input-cost pressure feeding into retail inflation. Base year 2022-23.",Office of the Economic Adviser — WPI Press Release,https://eaindustry.nic.in/press_release/press_release_202608.pdf,August 2026,2026-09-14,Expected: 2026-10-14,provisional,verified_official,Fuel and Power inflation 22.93% (from 20.05%) is the main driver. All-commodities index 110.8 vs 110.0.,TRUE
gst-collections,GST Collections (Gross),FISCAL,MONTHLY,Strong revenue momentum,1st-3rd of following month,199853,₹ crore gross,174116,25737,+14.8% YoY,up,positive,MacroNest anchor: double-digit YoY growth,"Gross Goods and Services Tax collected in the month, reflecting the previous month's business activity. A high-frequency proxy for domestic demand and formal-sector activity.",GSTN — Monthly GST Revenue Report,https://tutorial.gst.gov.in/downloads/news/aug_2026_gst_revenue_report_final_for_publishing_monthly.pdf,August 2026,2026-09-01,Expected: 2026-10-01,provisional,verified_official,"previous_value is the year-ago comparable (Aug 2025), not July 2026, because GST is reported on a YoY basis. Aug 2025 was REVISED DOWN from Rs 1.86 lakh crore to Rs 1.74 lakh crore. Net GST Aug 2026 = Rs 1,68,057 crore (+8.3% YoY).",TRUE
pmi-manufacturing,Manufacturing PMI,REAL ECONOMY,MONTHLY,"Expansion, slowest in five years",1st-3rd of following month,52.8,index,53.5,-0.7,-0.7 index pts MoM,down,warning,50 = no change threshold,"Survey-based index of factory activity. Readings above 50 signal expansion versus the previous month; the level indicates the pace of change, not output volume.",S&P Global — HSBC India Manufacturing PMI,https://www.pmi.spglobal.com/,August 2026,2026-09-01,Expected: 2026-10-01,final,cross_checked,"Privately compiled (S&P Global/HSBC), not government data. Final 52.8, weakest since Aug 2021; some aggregators still show the 52.9 flash estimate. Official release page is paywalled/indexed only at spglobal PMI hub. HSBC flash PMI for September scheduled for release on 23 Sep 2026 (not yet out at run time); final due 1 Oct / 5 Oct.",TRUE
pmi-services,Services PMI,REAL ECONOMY,MONTHLY,"Expansion, modest rebound",3rd-5th of following month,54.1,index,53.3,0.8,+0.8 index pts MoM,up,positive,50 = no change threshold,"Survey-based index of services-sector activity, India's largest output segment. Above 50 signals month-on-month expansion.",S&P Global — HSBC India Services PMI,https://www.pmi.spglobal.com/,August 2026,2026-09-03,Expected: 2026-10-05,final,cross_checked,"Privately compiled. Final 54.1, revised down from 54.5 flash. Could not open the S&P Global press release directly; value cross-checked across multiple reports. HSBC flash PMI for September scheduled for release on 23 Sep 2026 (not yet out at run time); final due 1 Oct / 5 Oct.",TRUE
merchandise-trade-deficit,Merchandise Trade Deficit,EXTERNAL,MONTHLY,Deficit narrowing from six-month high,14th-16th of following month,26.86,$ billion,31.98,-5.12,-$5.12 billion MoM,down,positive,MacroNest anchor: deficit below $30 bn/month,Gap between goods exports and goods imports in the month. A narrowing deficit eases pressure on the external account and the rupee.,Ministry of Commerce & Industry — Monthly Trade Data,https://tradestat.commerce.gov.in/,August 2026,2026-09-15,Expected: 2026-10-15,provisional,cross_checked,"Exports $43.18 bn (+26.12% YoY), imports $72.67 bn (+14.1% YoY). Commerce Ministry press release PDF not retrievable; figures cross-checked against Reuters and Commerce Secretary briefing. Note tradestat portal landing page still shows FY2025-26 as latest dataset.",TRUE
iip-growth,Index of Industrial Production,REAL ECONOMY,MONTHLY,"Solid expansion, moderating",28th of following month,6.7,% y-o-y,8.8,-2.1,-2.1 pp MoM,down,neutral,MacroNest anchor: sustained growth above 4%,"Year-on-year growth in industrial output across mining, manufacturing, electricity and water supply. Index level was 124.8 in the reference month.",MoSPI — IIP Press Release,https://www.mospi.gov.in/uploads/latestReleases/latest_release_1787912132242_3d2fc197-d8a9-48a0-840f-d0cdc12c6835_IIP_Press_Release_July_2026.pdf,July 2026,2026-08-28,2026-09-28,provisional,verified_official,Quick Estimate. June 2026 was REVISED UP from 7.3% (quick estimate) to 8.8%; delta uses the revised June figure. Mining contracted 0.9%. Next release date from MoSPI Advance Release Calendar 2026-27 (IIP for Aug 2026 on 28 Sep).,TRUE
core-sector-output,Core Sector Output (Index of Core Industries),REAL ECONOMY,MONTHLY,"Moderating, three-month low",~20th of following month,4.8,% y-o-y,5.0,-0.2,-0.2 pp MoM,down,neutral,MacroNest anchor: growth above 4%,"Combined output growth of nine core infrastructure industries (coal, crude oil, natural gas, refinery products, fertilizers, steel, cement, electricity and iron ore), which carry a large share of the IIP weight. Base year 2022-23.",Office of the Economic Adviser — Index of Core Industries Press Release,https://eaindustry.nic.in/eight_core_infra/Press_Release_ICI_20260921.pdf,August 2026,2026-09-21,2026-10-21,provisional,verified_official,"Aug 2026 provisional; index 119.2. July 2026 final revised DOWN to 5.0% (index 120.8) from 5.4% provisional; delta uses revised July. Growth in cement 12.5%, electricity 11.6%, iron ore 5.5%, steel 3.4%, refinery products 2.6%; contraction in coal -3.8%, natural gas -4.9%, crude oil -3.6%, fertilizers -12.4%. Apr-Aug cumulative 4.3%. Title updated to reflect the nine-industry series. Next release date stated in the press note.",FALSE
foreign-exchange-reserves,Foreign Exchange Reserves,EXTERNAL,WEEKLY,"Near record high, ample buffer",Every Friday (RBI Weekly Statistical Supplement),780.782,$ billion,785.706,-4.924,-$4.92 billion WoW,down,neutral,Adequate import cover >10 months,"Total RBI-held foreign currency assets, gold, SDRs and IMF reserve position. The buffer available to absorb external shocks and smooth rupee volatility.",RBI — Weekly Statistical Supplement,https://www.rbi.org.in/scripts/BS_viewWss.aspx,Week ended 11 Sep 2026,2026-09-18,Expected: 2026-09-25,provisional,cross_checked,"Small decline from the all-time high of $785.706 bn (week ended 4 Sep), which itself was a record $44.9 bn weekly jump. FCA fell $2.372 bn to $645.796 bn. RBI WSS viewer is JS-gated and could not be read directly; figures cross-checked against CNBC-TV18, ET BFSI and Trading Economics reporting of the same RBI release.",TRUE
money-supply-m3,Money Supply (M3),MONETARY,FORTNIGHTLY,Rapid monetary expansion,Alternate Fridays with RBI WSS,16.7,% y-o-y,14.2,2.5,+2.5 pp fortnight-on-fortnight,up,warning,No official M3 target,Broad money: currency with the public plus bank deposits and other deposits with the RBI. Rapid growth can signal liquidity build-up ahead of price pressure.,RBI — Weekly Statistical Supplement (Money Stock),https://www.rbi.org.in/scripts/BS_viewWss.aspx,Fortnight ended 31 Aug 2026,2026-09-11,Expected: 2026-09-25,provisional,needs_review,Jump from 14.2% to 16.7% in one fortnight is unusually large — verify against the RBI WSS Table 4 before publishing. M3 outstanding around Rs 3.32 crore crore (Rs 332 lakh crore). RBI WSS could not be opened directly.,FALSE
